index,theta,A,B,C,X,Y,Id,Iq
487,1.07,-4.00,5.00,0.00,-5.31,3.54,0.58,6.35
488,1.58,-4.00,3.00,3.00,-5.71,0.00,0.04,5.71
489,2.07,-4.00,0.00,5.00,-5.31,-3.54,-0.58,6.35
490,2.56,-1.00,-2.00,5.00,-2.04,-4.95,-0.99,5.26
491,3.06,0.00,-3.00,5.00,-0.82,-5.66,0.36,5.70
492,3.58,2.00,-5.00,3.00,2.45,-5.66,0.20,6.16
493,4.10,4.00,-4.00,1.00,4.49,-3.54,0.31,5.71
494,4.63,5.00,-2.00,-1.00,5.31,-0.71,0.28,5.35
495,5.17,5.00,0.00,-3.00,5.31,2.12,0.46,5.70
496,5.68,3.00,2.00,-3.00,2.86,3.54,0.33,4.53
497,6.20,1.00,4.00,-3.00,0.41,4.95,-0.02,4.97
498,0.44,-1.00,5.00,-2.00,-2.04,4.95,0.27,5.35
499,0.98,-3.00,4.00,0.00,-4.08,2.83,0.05,4.97
500,1.50,-3.00,3.00,2.00,-4.49,0.71,0.37,4.53
501,2.05,-3.00,1.00,4.00,-4.49,-2.12,0.18,4.96
502,2.56,-1.00,-1.00,4.00,-2.04,-3.54,-0.24,4.08
503,3.10,0.00,-3.00,4.00,-0.41,-4.95,0.20,4.96
504,3.63,2.00,-3.00,3.00,1.63,-4.24,0.53,4.51
505,4.14,3.00,-3.00,1.00,3.27,-2.83,0.62,4.28
506,4.66,5.00,-2.00,-1.00,5.31,-0.71,0.45,5.33
507,5.19,5.00,0.00,-3.00,5.31,2.12,0.56,5.69
508,5.72,3.00,2.00,-3.00,2.86,3.54,0.55,4.51
509,6.25,1.00,4.00,-3.00,0.41,4.95,0.23,4.96
510,0.47,-1.00,5.00,-2.00,-2.04,4.95,0.44,5.34
511,0.99,-3.00,4.00,0.00,-4.08,2.83,0.14,4.96
512,1.51,-4.00,3.00,2.00,-5.31,0.71,0.38,5.34
513,2.02,-4.00,1.00,4.00,-5.31,-2.12,0.42,5.70
514,2.52,-2.00,-1.00,5.00,-3.27,-4.24,0.19,5.35
515,3.07,0.00,-3.00,5.00,-0.82,-5.66,0.40,5.70
516,3.58,2.00,-4.00,3.00,2.04,-4.95,0.24,5.35
517,4.08,4.00,-4.00,1.00,4.49,-3.54,0.20,5.71
518,4.60,5.00,-2.00,-1.00,5.31,-0.71,0.09,5.35
519,5.10,5.00,0.00,-3.00,5.31,2.12,0.04,5.71
520,5.62,3.00,2.00,-4.00,3.27,4.24,-0.04,5.35
521,6.13,1.00,4.00,-4.00,0.82,5.66,-0.06,5.72
522,0.39,-1.00,5.00,-2.00,-2.04,4.95,0.01,5.35
523,0.91,-3.00,5.00,0.00,-4.49,3.54,0.02,5.72
524,1.42,-4.00,3.00,2.00,-5.31,0.71,-0.11,5.35
525,1.95,-4.00,1.00,4.00,-5.31,-2.12,-0.03,5.71
526,2.47,-2.00,-1.00,5.00,-3.27,-4.24,-0.07,5.35
527,3.00,0.00,-3.00,5.00,-0.82,-5.66,0.01,5.72
528,3.52,2.00,-3.00,3.00,1.63,-4.24,0.03,4.55
529,4.08,4.00,-4.00,1.00,4.49,-3.54,0.20,5.71
530,4.63,4.00,-2.00,0.00,4.08,-1.41,1.06,4.19
531,5.15,4.00,0.00,-2.00,4.08,1.41,0.47,4.29
532,5.69,3.00,1.00,-3.00,3.27,2.83,1.14,4.17
533,6.23,1.00,3.00,-3.00,0.82,4.24,0.58,4.28
534,0.50,-1.00,4.00,-1.00,-2.04,3.54,-0.11,4.08
535,1.04,-2.00,4.00,0.00,-3.27,2.83,0.77,4.25
536,1.59,-3.00,2.00,1.00,-3.67,0.71,0.77,3.66
537,2.16,-2.00,1.00,3.00,-3.27,-1.41,0.64,3.50
538,2.72,-1.00,0.00,3.00,-2.04,-2.12,0.99,2.77
539,3.26,0.00,-2.00,2.00,0.00,-2.83,0.33,2.81
540,3.81,2.00,-2.00,2.00,1.63,-2.83,0.47,3.23
541,4.36,3.00,-2.00,1.00,2.86,-2.12,1.01,3.41
542,4.93,4.00,-1.00,-1.00,4.08,0.00,0.89,3.98
543,5.47,3.00,0.00,-2.00,3.27,1.41,1.23,3.34
544,6.05,1.00,2.00,-2.00,0.82,2.83,0.14,2.94
545,0.33,0.00,3.00,-1.00,-0.82,2.83,0.15,2.94
546,0.85,-1.00,3.00,0.00,-2.04,2.12,0.26,2.93
547,1.42,-2.00,3.00,0.00,-2.86,2.12,1.66,3.15
548,1.96,-2.00,1.00,2.00,-2.86,-0.71,0.42,2.91
549,2.49,-2.00,0.00,3.00,-2.86,-2.12,0.99,3.42
550,3.03,0.00,-2.00,4.00,-0.82,-4.24,0.34,4.31
551,3.58,1.00,-3.00,3.00,0.82,-4.24,1.08,4.18
552,4.12,3.00,-3.00,1.00,3.27,-2.83,0.51,4.29
553,4.65,4.00,-2.00,0.00,4.08,-1.41,1.16,4.16
554,5.18,5.00,0.00,-2.00,4.90,1.41,0.94,5.01
555,5.70,3.00,1.00,-3.00,3.27,2.83,1.17,4.16
