mag,encoder
2325,8798
2326,8799
2327,8800
2328,8800
2329,8801
2330,8804
2331,8801
2332,8804
2333,8807
2334,8808
2335,8806
2336,8811
2337,8810
2338,8811
2339,8815
2340,8815
2341,8815
2342,8820
2343,8820
2344,8822
2345,8823
2346,8819
2347,8826
2348,8825
2349,8830
2350,8829
2351,8832
2352,8836
2353,8836
2354,8837
2355,8838
2356,8841
2357,8844
2358,8843
2359,8843
2360,8850
2361,8851
2362,8848
2363,8850
2364,8853
2365,8854
2366,8856
2367,8859
2368,8858
2369,8863
2370,8865
2371,8865
2372,8866
2373,8871
2374,8868
2375,8872
2376,8867
2377,8872
2378,8871
2379,8876
2380,8877
2381,8878
2382,8877
2383,8876
2384,8877
2385,8879
2386,8875
2387,8877
2388,8876
2389,8877
2390,8874
2391,8877
2392,8879
2393,8879
2394,8882
2395,8879
2396,8879
2397,8879
2398,8881
2399,8880
2400,8878
2401,8879
2402,8882
2403,8885
2404,8886
2405,8888
2406,8887
2407,8886
2408,8891
2409,8890
2410,8895
2411,8897
2412,8897
2413,8895
2414,8897
2415,8896
2416,8895
2417,8901
2418,8899
2419,8904
2420,8903
2421,8900
2422,8902
2423,8907
2424,8904
2425,8907
2426,8909
2427,8911
2428,8910
2429,8913
2430,8913
2431,8913
2432,8914
2433,8916
2434,8914
2435,8916
2436,8920
2437,8921
2438,8920
2439,8925
2440,8923
2441,8928
2442,8926
2443,8928
2444,8928
2445,8931
2446,8931
2447,8934
2448,8937
2449,8936
2450,8937
2451,8935
2452,8941
2453,8942
2454,8941
2455,8943
2456,8947
2457,8949
2458,8946
2459,8949
2460,8947
2461,8950
2462,8953
2463,8954
2464,8956
2465,8953
2466,8957
2467,8957
2468,8959
2469,8958
2470,8961
2471,8963
2472,8965
2473,8968
2474,8967
2475,8967
2476,8967
2477,8973
2478,8972
2479,8974
2480,8974
2481,8976
2482,8976
2483,8975
2484,8979
2485,8979
2486,8979
2487,8980
2488,8984
2489,8984
2490,8984
2491,8984
2492,8986
2493,8990
