index,theta,A,B,C,X,Y,Id,Iq
258,1.61,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
259,1.71,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
260,1.82,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
261,1.90,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
262,2.02,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
263,2.12,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
264,2.21,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
265,2.31,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
266,2.42,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
267,2.50,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
268,2.63,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
269,2.72,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
270,2.84,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
271,2.92,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
272,3.03,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
273,3.11,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
274,3.20,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
275,3.31,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
276,3.42,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
277,3.52,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
278,3.64,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
279,3.73,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
280,3.88,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
281,3.98,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
282,4.10,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
283,4.22,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
284,4.33,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
285,4.46,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
286,4.58,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
287,4.70,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
288,4.82,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
289,4.91,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
290,5.03,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
291,5.11,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
292,5.22,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
293,5.29,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
294,5.41,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
295,5.51,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
296,5.61,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
297,5.71,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
298,5.82,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
299,5.92,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
300,6.03,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
301,6.13,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
302,6.24,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
303,0.07,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
304,0.20,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
305,0.33,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
306,0.44,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
307,0.54,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
308,0.67,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
309,0.78,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
310,0.90,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
311,1.02,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
