a,b,c,alpha,beta
-265,-472,728,-56,95
-321,-428,728,-56,95
-367,-381,744,-56,95
-427,-320,740,-56,95
-497,-254,735,-56,95
-578,-167,731,-56,95
-655,-78,712,-56,95
-696,-24,699,-56,95
-715,7,693,-56,95
-732,24,686,-56,95
-740,47,668,-56,95
-754,107,629,-56,95
-770,180,579,-56,95
-789,230,526,-56,95
-801,278,508,-56,95
-818,325,473,-56,95
-836,366,448,-56,95
-827,426,387,-56,95
-823,478,320,-56,95
-793,520,259,-56,95
-753,553,193,-56,95
-711,566,122,-56,95
-663,589,69,-56,95
-617,611,0,-56,95
-609,622,-37,-56,95
-581,647,-68,-56,95
-547,677,-127,-56,95
-509,695,-193,-56,95
-458,716,-241,-56,95
-448,725,-287,-56,95
-401,733,-337,-56,95
-350,738,-385,-56,95
-285,741,-447,-56,95
-209,732,-522,-56,95
-140,732,-583,-56,95
-96,734,-628,-56,95
-27,708,-672,-56,95
21,682,-690,-56,95
38,673,-700,-56,95
85,650,-724,-56,95
132,629,-737,-56,95
169,598,-762,-56,95
238,559,-777,-56,95
293,521,-787,-56,95
347,483,-807,-56,95
399,456,-825,-56,95
454,407,-840,-56,95
505,342,-815,-56,95
542,265,-796,-56,95
585,175,-731,-56,95
603,94,-681,-56,95
630,38,-648,-56,95
658,-4,-625,-56,95
675,-39,-625,-56,95
707,-83,-593,-56,95
726,-155,-557,-56,95
750,-216,-508,-56,95
764,-266,-472,-56,95
772,-312,-441,-56,95
778,-357,-408,-56,95
771,-420,-332,-56,95
779,-484,-272,-56,95
774,-557,-193,-56,95
758,-627,-122,-56,95
752,-667,-62,-56,95
730,-694,-14,-56,95
712,-715,17,-56,95
702,-720,44,-56,95
665,-741,80,-56,95
623,-752,144,-56,95
582,-767,194,-56,95
555,-791,239,-56,95
513,-782,301,-56,95
469,-819,349,-56,95
440,-828,407,-56,95
356,-804,463,-56,95
290,-795,500,-56,95
227,-760,536,-56,95
153,-719,556,-56,95
69,-660,583,-56,95
1,-618,616,-56,95
-35,-618,629,-56,95
-62,-609,666,-56,95
-122,-588,694,-56,95
-180,-549,713,-56,95
-243,-495,733,-56,95
-308,-449,732,-56,95
-355,-400,737,-56,95
-405,-352,747,-56,95
-470,-305,633,-56,95
-538,-231,750,-56,95
-616,-135,741,-56,95
-677,-68,718,-56,95
-709,-10,708,-56,95
-732,14,698,-56,95
-746,26,694,-56,95
-765,63,685,-56,95
-778,114,638,-56,95
-791,182,589,-56,95
-802,243,547,-56,95
-822,292,501,-56,95
-835,346,470,-56,95
-853,381,434,-56,95
-842,454,376,-56,95
-817,505,303,-56,95
-788,534,228,-56,95
-740,565,162,-56,95
-698,592,101,-56,95
-664,612,37,-56,95
-632,635,-6,-56,95
-619,650,-45,-56,95
-595,678,-89,-56,95
-579,700,-132,-56,95
-546,730,-185,-56,95
-501,742,-239,-56,95
-482,745,-294,-56,95
-398,745,-353,-56,95
-343,755,-403,-56,95
-288,759,-472,-56,95
-224,767,-532,-56,95
-157,755,-601,-56,95
-69,731,-655,-56,95
-19,715,-681,-56,95
13,701,-708,-56,95
43,701,-719,-56,95
